github.com/AlDanial/cloc v 1.82  T=2.23 s (59.3 files/s, 7995.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           129           1779           9961           5830
Maven                            1             11             24            141
HTML                             1              0              0             43
Markdown                         1              4              0             11
-------------------------------------------------------------------------------
SUM:                           132           1794           9985           6025
-------------------------------------------------------------------------------
